Tiro;Kim;Brady;David;Sjef
1;10;10;10;10
2;10;10;9;10
3;10;10;9;10
4;10;10;9;9
5;9;9;9;9
6;9;9;8;8
7;10;10;10;10
8;10;10;10;10
9;10;10;9;10
10;9;9;9;9
11;9;9;9;9
12;9;7;9;9
13;10;10;10;10
14;10;10;10;10
15;10;10;10;10
16;10;10;9;10
17;9;9;9;10
18;9;9;9;10
19;10;10;10;10
20;10;10;10;10
21;10;10;10;10
22;10;9;9;10
23;10;9;9;10
24;9;9;8;10
25;10;10;10;10
26;10;10;10;10
27;10;10;10;10
28;10;9;10;10
29;10;9;10;9
30;10;9;9;9
31;10;10;10;10
32;10;10;10;10
33;9;10;9;10
34;9;9;9;9
35;9;9;9;9
36;9;9;8;8
37;10;10;10;10
38;10;10;10;10
39;10;10;10;9
40;10;10;10;9
41;10;10;9;9
42;9;9;9;8
43;10;10;10;10
44;10;9;10;10
45;10;9;10;9
46;10;9;9;9
47;10;9;9;9
48;10;9;9;8
49;10;10;10;10
50;10;10;10;10
51;10;10;10;9
52;9;9;10;9
53;9;9;10;9
54;9;9;9;8
55;10;10;10;10
56;10;10;10;10
57;10;10;10;10
58;10;10;10;10
59;9;10;10;10
60;9;9;9;9
61;10;10;10;10
62;10;10;10;10
63;10;10;10;10
64;10;10;9;9
65;10;9;9;9
66;9;9;9;8
67;10;10;10;10
68;10;10;10;10
69;10;10;10;10
70;10;10;10;9
71;10;10;9;9
72;9;10;9;9
